source,target
Make a start here .,Make a start here .
hello all,Hello all
Liverpool,Liverpool
how did I tell my boss this ?,How do I tell my boss this ?
Thing which troubles us,Things which trouble us
My new life start ( my fist diary ),My new life start ( my fist diary )
typhoon in Manila,Typhoon In Manila
I visited to a hospital .,I visited a hospital .
Please castigate this composition !,Please correct this composition !
Please help me to write the academic English !,Please help me write academic English !
I saw English royal wedding .,I saw an English royal wedding .
Who cares my tiny trouble ?,Who cares about my tiny trouble ?
oh dear .,Oh dear .
After becaming elementary school . . . .,After starting elementary school . . . .
The firsr time travel in the Unite State .,The first time traveling in the United States .
How should this be called ?,What should this be called ?
"It might be stupid questions , though . . .",It might be a stupid question
my family home incline,My family home inclined
"JOSIRYOKU , a skill of being fascinationg women","JOSIRYOKU , the art of being a fascinating woman"
Spring comes,Spring is coming
Please let me intorduce myself,Please let me introduce myself
You tube caption,( YouTube ) caption
I 'll go to Las Vegas and Atlanta,I 'm going to go to Las Vegas and Atlanta
What do you imagine about you 20 years later ?,How do you imagine yourself 20 years from now ?
Springtime of life !,Springtime of Life
English is a trouble to me,English is a problem for me
Mobile telephones .,Mobile phones .
The Chicago,Chicago
What is your favorite food of all time ?,What is your favorite food of all time ?
Difficulty of posting daily news,The Difficulty of posting daily entries
I want to make a prograss in my english,I want to make progress with my english
query on the bill,Query on the bill
I start Lang - 8 on today !,I have started Lang - 8 today !
For him birthday,For his birthday
Translating the book into Japanese,Translating a book into Japanese
Since I join in Lang - 8,Since I joined Lang - 8
Train in Japan,Train in Japan
The Romes,The Romans
Do American people tend to include many people in an e - mail where possilbe ?,Do American people tend to include many people in an e - mail when possible ?
Few bread on the shelf,Little bread on the shelf
Tell me !,Please tell me !
Taking movie and talking a lot with old friends,Shooting a movie and talking a lot with old friends
I ate sushi on the Lunch,I ate sushi for lunch
I want to know the fact .,I want to know the facts .
TASK 5 - 2 ( 40min ) the latter half,TASK 5 - 2 ( 40min ) the other half
AIR FRESHER,AIR FRESHENER
Reception of freshmen,Freshmen Reception
About waking up early morning . .,This is about waking up early in the morning .
Chinese is very different ?,Chinese is very difficult .
Work at the midnight,Working at midnight
I got back to lang - 8 .,I am back to lang - 8 .
High school start !,High school classes start !
New creation ! Joint Bracelet !,My New Creation ! A Joint Bracelet !
A Practice Job,A Practice Job ( An Internship )
I played Bowling,I went Bowling
Have you been to Hiragana Times Party ?,Have you been to a Hiragana Times Party ?
Recommendation for a Kyoto Trip,Recommendation for a Trip to Kyoto
Today 's my job,Today 's job
nice to meet all,Nice to Meet You All
Why ? Why ? Why ?,Why ? Why ? Why ?
Funny listner,Funny listener
The figure skating,Figure skating
Today 's plan .,Today 's Plan .
first time !,First time !
I 'm fallin ' love,I ' v fallin ' in love
concept of my art,The concept of my art
give me some suggestion,Give me your suggestion .
Refreshing After Exam,Relaxing After My Exam
Feel mixed - up about my future .,Feeling mixed - up about my future .
I got ta make a presentation day after tomorrow . . .,I got ta make a presentation the day after tomorrow . . .
Start today !,Start Today !
My cousin brother came to my house .,My cousin 's brother came to my house .
It is my first diary .,It is my first diary entry .
Changing my cell phone,Changing my cell phone
I heard lang - 8 from my friend .,I heard about lang - 8 from my friend .
The first dairy,The first diary
caught a cold,Caught a cold
Becouse of Love ?,Because of Love ?
"Today , the first day on lang - 8",My First Day on Lang - 8
Please admit your country honestly nobody would despise you !,"Please , be honest about where you live . Nobody would despise you !"
Today the sun are is beautiful,Today the sun is beautiful
My favorist Japanese singer was under arrest .,My favourite Japanese singer is under arrest .
"Recently , it is very hot days in whole Japan .",We have had some hot days lately all across Japan .
"Tomorrow is , , ,",Tomorrow is . . .
Cycling in the Company : Part Two,Cycling in the Company : Part Two
what I am doing,What I am doing
Today l start Lang - 8 for the first time !,Today l started Lang - 8 for the first time !
wanna be like a native speaker,I wanna be like a native speaker
An Flight Ticket,A Flight Ticket
starting Lnag - 8,Starting Lang - 8
make friends,Making friends
finding a job,Finding a Job
I got my graduation certification today .,I got my graduation certificate today .
All of my family have been infected by the H1N1 Influenza,My family has been infected by the H1N1 Influenza
Thanks letters,Thank you letters
I hop !,IHOP !
badminton game,Badminton game
Please fix this article more easy to read . ( Part . 1 ),Please fix this article so that it will be more easy to read . ( Part . 1 )
My introduce,My Introduction
Not to cooking for myself,Not cooking for myself
My work for graduating,My work for graduation
I memorize a word in English today .,I memorized an English word today .
Movie the Casle in the Sky,The Casle in the Sky Movie
My friend came to my home until 15 .,My friend came to my home and stayed until the 15th .
Tomorrw .,Tomorrow .
Is Japan an European country ?,Is Japan a European country ?
deutsch lehren,deutsch lehrenDeutsch lernen
I have been to cram school when I was a junior highschool student .,I went to cram school when I was a junior highschool student .
Heathrow Airport closed down,Heathrow Airport Closed Down
I hardly have a chance to write a diary !,I hardly have a chance to write in my diary !
greenhouse effect gas,greenhouse effect gas
Bio hazard .,Biohazard .
A Carp Also Takes A Cold .,A Carp Also Catches A Cold .
Snowing ! Snowing ! Snowing !,Snowing ! Snowing ! Snowing !
Worrying thing now,Worrying thing nowSomething I 'm worrying about
It 's almost spring !,It 's almost Spring !
Does speaking only improve speanking skill ?,Does speaking only improve speaking skill ?
National English Contest for College Student,National English Contest for College Students
Where Is My Soul,Where Is My Soul ?
Conspicuous vs Norticeable,Conspicuous vs Noticeable
One of the good things on lang - 8,One of the good things about lang - 8
MBT shoes,MBT Shoes
Diary : My friend get married .,Diary : My friend got married .
I have some questions for you . Tell me your idea .,I have some questions for you . Tell me what you think .
I 'm just new here,I 'm new here
An company entrance exam on the web !,A company entrance exam on the web !
How Did You Learn About English ?,How do you learn English ?
I write a report on my recent event .,I will write a report on my recent event .
I took part in a Offline Meeting and met many wonderful people .,I took part in an offline meeting and met many wonderful people .
hello ^ ^,Hello ! ^ _ ^
My today 's activities,My activities today .
What illudes me,What eludes me
the Takapuna flea market,The Takapuna Flea Market
Repereing Computer,Repairing Computer
"with Skype , I talked with Korean .",I talked with a Korean on Skype .
boring . . . .,Boring . . . .
Almost 4 months after the terrible earthquake,Almost 4 months after the terrible earthquake
Mistook !,Mistake !
My first dairy .,My first diary .
I think I will fail to the test in IELTS in JUN .,I think I will fail the test in IELTS in June .
My 27 - year - old birthday,My 27th birthday
Which one is more important ? Creative minds or Artistic minds ?,Creative or Artistic : Which Is More Important ?
A camera of an iPad 2,A camera on the iPad 2
A Japanese Famous Ghost Story ( Part 1 ),A Famous Japanese Ghost Story ( Part 1 )
Choshi city is not so comfortable city .,Choshi city is not a quite comfortable city .
Let 's help me,Please help me
Victory of common sense ? Finally realized in the United States Nations Health Insurance . - 1,Victory of common sense ? Finally realized with United States [ REDnational [ / RED ] health insurance . - 1
"The salary , part 2","My salary , part 2"
test coming !,my test is coming up !
yesterday is . . .,Yesterday was . . .
looking correctors desesperetly,looking desperately for correctors
I am hooked on vegitables,I am hooked on vegetables
I want study english,I want to study English .
my terrible week .,My terrible week .
I and English,Me and English
I watched the movie `` Transformers darkside of the moon `` .,I ( have ) watched the movie `` Transformers darkside of the moon `` .
Today is holiday !,Today is a holiday !
"See it , please = ) ) ) ) )","Read it , please = ) ) ) ) )"
I want to review everyone who correct my English .,I want to review everyone 's corrections of my English .
A wonderful afternoon with Vicky family,A wonderful afternoon with Vicky 's family
the death of one person . . .,The Death of One Person . . .
What does these sentence mean ? I ca n't imagine this sentence .,What do these sentences mean ? I ca n't imagine what they mean .
My first dialy,My first diary
I started to play The WoW in the US server !,I started to play WoW on the US server !
It 's my first post !,It 's my first post !
The difference between `` jorunal `` and `` diary ``,The differences between `` ( journal ) `` and `` diary ``
How are you good ?,How are you ?
a e - mail,An e - mail
Summer vacation of my kids is over soon,My kids ' summer vacation will be over soon
Finnished the test ! !,I finished the test ! !
Discovery of particles larger than speed of light,Discovery of particles faster than speed of light
the stuffs I stopped to do these days,the stuff I stopped doing these days .
went to DIY store !,went to a DIY store !
It 's rainning .,It 's raining .
Apartment I have been lived,Apartments I have lived in
cause and because how it defferent .,cause and because how are they different ?
a thing I want to do next year,Things I want to do next year
Fibonacci number,Fibonacci numbers
listening podcast in English,Listening to podcasts in English
I rented a CD .,I borrowed a CD .
Watching the Champions league with Indian,Watching the Champions League with Indians
I 'll try to English ! !,I 'll try to learn English ! !
Monday is a heavy day . .,Monday is a difficult day . .
Yesterday was my friend brithday,Yesterday was my friend birthday
Pelvis exercise,Pelvic exercise
"Even though people say you dont have to compare with others ,","Even though people say you do n't have to compare yourself to others ,"
How much do you get sleep every night ?,How much sleep do you get every night ?
Social Problems,Social Problems
I went to China by business trip .,I went to China for a business trip .
Hello . I stady a language English,"Hello , I studyEnglish"
What I 'm doing for learning English .,What I 'm doing to learn English .
TV drama Heroes,TV Drama Heroes
Today is ordinary day,Today is an ordinary day
hey . . . my first note in english,hey . . . my first note in English
top density of convinence stories,high density of convinence stories
Twenty - four Eyes : One of The Most Beautiful Movie and Arrangeed Music in Japan,Twenty - four Eyes : One of The Most Beautiful Movies and Arranged Music in Japan
"Hello ! first , I introduct myself .","Hello ! first , I introduce myself ."
Raining Day,Rainy Day
My feering is not good today .,I 'm not feeling good today .
When I was travel to America .,When I traveled to America .
feel so bad,I feel so bad
Three Spanish speaking movies,Three Spanish movies
Play computer again,Playing on the computer again
Benincasa hispida Tea mixed Milk,Mixed Benincasa hispida milk tea
insomnia .,Insomnia .
`` My Friend ``,`` My Friend ``
"wishing you peace , joy , and happiness","wishing you peace , joy and happiness"
An earthquake was generated in Tohoku region .,An earthquake occurred in the Tohoku region .
I could get my home by buses .,I could get home by riding buses .
One day I will . . .,One day I will . . .
First daily,First dairy entry
what dose this mean : trick up your sleeve ?,What does the phrase `` trick up your sleeve `` mean ?
"Hello , everyone",Hello everyone
Japan Festival 2009 in London,Japan Festival 2009 in London
I 'm comefrom China,I 'm from China
The price for house is too high to buy in Korea .,The price for a house is too high to buy in Korea .
Save ON Electricity .,Conserve Electricity .
Waiting to hometown !,Waiting for hometown !
help me !,Help me !
home party,house party
It 's cold .,It 's Cold
Human condition,The human condition
Alone Again,Alone again .
As Third Languages,As a Third Language
From April to March of next year,From April to next March
Practise my written English,Practice my written English
Most of Taiwanese girls like foreigners,Most Taiwanese girls like foreigners
currently my job is to hard . . . .,Currently my job is too hard . . . .
My auto biography,My Autobiography
This is my first diary .,This is my first diary / journal entry .
The last night before the travel,The last night before my trip .
Catch a cold,Caught a Cold
I have been being in a problem,I have been having a problem
Summer comes to Japan,Summer Comes to Japan
I wanna go to Facebook event in San Francisco ! !,I wanna go to the Facebook event in San Francisco ! !
I caught a cold today .,I catch a cold today .
Back pakers in Sydney .,Backpackers in Sydney .
To day is dorinking party,Today there is a drinking party
I love this,I love this .
I 'm in Cote d ' ivoire now,I 'm in Cote d ' Ivoire now .
No one can expect what will happen . It 's now our time to rebuld Japan !,No one can expect what will happen . [ Now ] it 's time to rebuild Japan !
Driving Licience,Driving License
`` Defeat `` How tricky word it is !,`` Defeat `` How tricky a word it is !
Start to use this homepage .,Start to use this website .
It 's been a while .,It 's been a while .
How humiliated !,How humiliating !
About neclear power generation,About nuclear power generation
The First step for learn English ! ?,The First step for learning English ! ?
I 'm looking ford to give a free cupon for SC2,I 'm looking forward to getting a free coupon for SC2
I 'm freezing my ass off .,I 'm freezing .
conventioal wisdom,conventional wisdom
Women 's football world cup,Women 's World Cup
My first daiary,My first diary
catch ball,Playing catch with my boyfriend .
I want quit drinking . T _ T,I want to quit drinking . T _ T
Chinese harbal medicine,Chinese herbal medicine
safe water shortage for infant,Safe water shortage for infants
a soar hand T . T,a sore hand T . T
A Lantern Floating Festival in Japan,A Lantern Floating Festival in Japan
Visitors from US .,Visitors from the US * Titles do need ending punctuations
This is first time I write dialy heae .,This is first time I write diary here .
My first studying abroad,My first time studying abroad
I have a lovely gril friend !,I have a lovely girlfriend !
so difficult to find good job,It 's so hard to find a good job
I Had to Leave the Class Early,I Had to Leave My Class Early
Nice to meet you ?,Nice to meet you !
Writing letters,Writing Letters
That animation is called ' EVANGELION ' .,This animation is called ' EVANGELION ' .
In Bangkok on 23 th Jan .,In Bangkok on the 23rd of Jan .
expecting to the wonderful game,Expecting a wonderful game
My dialy,My diary .
Fire and smog . All bee well ! !,Fire and smog . All will be well ! ! *
I have became 24 years old the day beefore yesterday !,I have become 24 years old the day before yesterday .
my problem _ English,My Problem . English .
Apple store at Ginza,The Apple Store at Ginza
poublic lottery,public lottery
new year 's visit to a shrine,New Year 's visit to a shrine
Japanese learning,Japanese Learning
Current my situation,My current situation
"Hello , everyone . I am new and want to practice writing skill . Thank you","Hello , everyone . I am new and want to practice writing skills . Thank you"
hi my name is madmax,Hi . My name is madmax .
We see what we want to see rather than what we see .,We see what we want to see rather than what we actually see .
very cold,It is very cold
no more japanese !,No more Japanese !
Mid - autumn Day,Mid - Autumn Festival
Cold Weater,Cold Weather
One of the most delicious a Japanese food,One of the most delicious Japanese foods
Which language is easier,Which language is easier ?
First,First Diary
I wish I could speak as fluently as I wrote .,I wish I could speak as fluently as I write .
Japanese a children 's story,Japanese children 's story
What kind of movies do you like ?,What Kind of Movies do You Like ?
I belive that Sincereness Could touch God .,I believe that sincerity could touch god .
How do you know about Qi ?,What do you know about Qi ?
Took a Englsh Lesson .,Took an Engilsh Lesson .
My first dirary on Lang - 8,My first diary on Lang - 8
I think my English is very poor,I think my English is very poor
70th anniversary of the birth of Jhon Lennon Oct . 9 2010 .,The 70th anniversary of the birth of John Lennon is Oct . 9 2010 .
The winter is around the corner .,Winter is just around the corner .
This week,This Week
OMG ! ! ! I almost missed the 8th . Chinese Bridge ! ! !,OMG ! ! ! I almost missed the 8th ( I deleted the `` . `` ) Chinese Bridge ! ! !
Starting English day ! !,Starting English today ! !
ONE PIECE which is a Japanese comic,ONE PIECE is a Japanese comic
Do you want ask me someone ?,Do you want to ask me something ?
Global warming is fib ?,Global warming is a fib ?
I ca n't keep my resolutions longer than a few days,I ca n't keep my resolutions for longer than a few days
I do n't know why does typhoon come japan a lot .,I do n't know why typhoons come to Japan so much .
No smoke,No smoking
"Men are from Mars , women are form Venus","Men are from Mars , Women are from Venus"
I have a day for the exam,I have one more day until the exam
First daily,First diary
I have arranged to meet him at a restaurant after work .,I have arranged to meet with my friend at a restaurant after work .
The crisis gives a good opportunity to us .,A crisis gives a good opportunity to us .
My PC was dead,My PC died
JAPANESE PEASE,JAPANESE PEACE
Long fligt,Long flight
Do I deserve . . .,Do I deserve this . . .
lost my way,Lost my way
I 'm loven ' it !,I 'm lovin ' it !
Usage of A and The,Usage of ' A ' and ' The '
Prepare for going skiing,Preparing to go skiing
It is freezing .,It was freezing .
Go To Florida !,Going To Florida !
oneday in new class,One day in new class
Looking for roomate and stadium,Looking for a Roommate and a Stadium
good news,Good news
I saw the Friends sitcom on computer .,I saw the Friends sitcom on my computer .
No more healthy ?,No more healthiness ?
So starve,So Hungry !
Epic trip to east coast : ),Epic trip to the east coast : )
to sleep later,Going to sleep later
I went to wedding party,I went to a wedding party .
playing and having fun,Playing and Having Fun
I want a free time . . .,I want more free time . . .
Is Kuruneko popular in children ?,Is Kuruneko popular with children ?
Please someone tell me about this words .,Please someone tell me about these words .
I am at the Chingi air port .,I am at Changi air port .
Comparing between calgary and seoul,Comparing Calgary and Seoul
Keep diary for half a year !,I 've kept a diary for half a year !
The screen of my I phone cracked !,The screen of my iPhone cracked !
Homemaker 's Problem,A Homemaker 's Problem
SPIBELT : The useful running tool,SPIBELT : A useful running tool
Boring time ! !,Boring times ! !
I do n't like cold day,I do n't like cold days
Jazz conceret and New York,Jazz concert and New York
Earliest Trains,Early Trains
I want to improve my spoken english,I want to improve my spoken English
Carefuless me,Careless me
Say hello to all english speakers,Hello to all English speakers .
First half of final exam will start .,The first half of the final exam will start .
"Describe a picture , prepare for the test . Help me please ! ! ! !",I need to describe this picture to prepare for a test . Help me please ! ! ! !
is about to take a shower but . . . .,I was about to take a shower but . . . .
I uploaded my photos !,I have uploaded my photos !
Is it good practice for speaking English ?,Is this a good practice for speaking English ?
This is my first dialy,This is my first diary
Go to my hometown,Returned to my hometown
about attraction of Mongolian,about my attraction to the Mongolian language - > ? ?
My first dialy,My first diary .
Foot ball game,Football game ( No spacing )
Clean up My Closet,Clean Out My Closet
I begining english sturdy !,Today I 'm beginning to study English !
Lang - 8 's update infromation .,Lang - 8 's update information .
Begin diary,Begin Diary
first day,First day
My blog for foreigners learning Japanese,My blog for foreigners who want to learn Japanese
Please check phrases which I input !,Please check my sentence !
iPod touch,iPod Touch
please help to correct an essay,please help correct this essay
Practice for business letter,Practice business letter
It 's getting cold,It 's getting cold
Stay at home with my san .,Stay at home with my son .
Haha . . today .,Haha . . Today .
I want to buy a Single lens reflection camera !,I want to buy a single lens reflex camera !
Vietnam Restaurant .,Vietnamese Restaurant .
Great trip,A Great trip
I am going to unniveristy,I am going to university
Maybe I should have a great rest these days . . .,Maybe I should have a rest these days . . .
Fighting Aginst A Sleeper,Fighting Against A Sleeper
Work experience : brotherhood ? brothership ?,Work experience : brotherhood ?
A friday,A Friday
Today with my family have a trip .,I had a family trip today .
Readiness for getting married,Getting Ready for Marriage
Japanese net user is poor and foolish ?,Are Japanese Net Users Poor and Foolish ?
What do you think about super star - Andy Lau,What do you think about superstar - Andy Lau
Short diay,Short diary
Soy milk,Soy Milk
I Would Love to Try a New Thing !,I Would Love to Try Something New !
hello . my name is jenny,"Hello , my name is Jenny ."
My Dog,My Dog
concentration !,Concentration !
Festival was held,A festival was held
Translation on 14th January _ 02,"Translation for January 14 , 02 ."
my saddness,my sadness
"I need your help with English learning , could you give me a hand ?",I need help with learning English . Could someone give me a hand ?
Umm . . .,Umm . . .
My Instroduction .,My Introduction .
A happy day,A happy day
Bussiness Trip,Business Trip
I want language exchange . Do you want to lean Korean ?,I want language exchange partners . Do you want to learn Korean ?
I Sleptover Again . . .,I Overslept Again . . .
I passed pre second level English test .,I passed the pre second level English test .
Surprised present,Surprise present
19-Jul,July 19th
11 / 04 / 21 Thur . Because Japan Is A Gloomy Mood . .,11 / 04 / 21 Thur . Because Japan is in a Gloomy Mood . .
daft pank is really cool,daft punk is really cool
thanks for noticing me the error ?,thanks for informing me about the error ?
Get ready to go back to school 2010 - 8 - 24,Getting ready to go back to school 2010 - 8 - 24
I do n't know haw to use this site . .,I do n't know how to use this site . .
Hard time,Hard times
"What 's ? Only having conversations in English ? It 's not enough , what are you talking about ?",What ? Only having conversations in English ? It 's not enough . What are you talking about ?
about dead,about death
"A Japanese Budo Skirt , Hakama",A Japanese Budo Skirt : Hakama
Cold place,Cold place
It has been a long day .,It has been a long day
My favorite Ramen restraunt,My favourite Ramen restaurant
In Emergency ( during WWII ),Because it 's an Emergency ! Duh ! ( WWII propaganda )
Library in Weekend,In the Library this Weekend
Does someone who likes Japanese animation help me ?,Can someone who likes Japanese animation help me ?
When I was university student ~,When I was a university student ~
some problems of learning English,some problems learning English
Dear Mum,"Dear Mum ,"
I wanna beat my girlfriend . Scrabble,I wanna beat my girlfriend at Scrabble
I begin lang - 8,I joined lang - 8
so many peopele like japanese !,So many people like Japanese !
The plan for summer vacation,The plan for ( the ) summer vacation
Japanese rap music become popular by Dragon ash,Japanese rap music became popular by Dragon ash
Why does everybody always stare at mobile phone in a train ?,Why does everybody always stare at their mobile phone on the train ?
Why do almost all the people Japanese buy Luis Vuitton ?,Why do almost all Japanese people buy Luis Vuitton ?
I ordered Wii ! ! !,I ordered a Wii ! ! !
sunday afteroon,Sunday afteroon
M . C Escher,M . C . Escher
now I study English .,I 'm studying English now .
My favorie food .,My favorite food .
The Usefulness of iPhone and My Creativity,The Usefulness of theiPhone and My Creativity
"small talk from twitter , Japanese business culture regarding merger and acquisition",Small talk from Twitter : Japanese business culture regarding merger and acquisition
Have you a kindle ?,Do you have a kindle ?
Everyday I dream the life with cats !,Everyday I dream of a life with cats !
My favourite plact to relax,My favorite place to relax
"I have a Question about a Photograph , especially to Koreans .","I have a Question about a Photograph , especially for Koreans ."
Last Saterday night 's illness,Last Saturday Night 's Illness
Celebrity Sex Video,Celebrity Obscene Video ( alternative )
Poznan 's championschip,Poznan 's championship
8 / 13 Who say that you do not have enough might to help others even if you just earn a little money ?,8 / 13 Who says that you do not have enough might to help others even if you just earn a little money ?
Parents ' Day,Parent 's Day
Today 18 Oktober,"Today , 18 October"
my sister 's depression,My sister 's depression
my lap - top was repaired .,my lap - top was repaired . Good : )
I eat terrible sushi !,I ate terrible sushi !
A raining day is also a boring day,A raining day is usually a boring day
A Low Motivated Day,A Day of Low Motivation
Technique in learning langage,Technique in learning language
Things In Which Japanese Young People Are Less Interested,Things In Which Japanese Youth Are Less Interested
Please tell me how to maintain your health,Please tell me how you maintain your health
Snow Day !,Snowy Day !
Me very first journal,My very first journal
Talk with my dad about my future,A Talk with my dad about my future
I 'm desireing .,I 'm desiring .
The miso to be mixed with a ice - cream .,The miso that is for mixing with ice - cream .
I am ARASHI fan,I am an ARASHI fan
Where is my future !,Where is my future ? !
rain in morning,Rain in the morning .
In this weekend .,During this weekend .
Work Instruction,Work Instructions
Summer vacation,Summer Vacation
Retrace this year,Retrace this year ( 1 )
I feel sleep,I feel sleepy
I come back to Ishigaki Island !,I have come back to Ishigaki Island !
This month is a sacred and the most important for all of Muslims around the world ! ! !,This month is sacred and the most important time for all of Muslims around the world ! ! !
Red Cliff part2,"Red Cliff , Part 2"
Sick,Sick Today
Last week of July,Last Week of July
Reds do n't have a skill to get goals,Reds do n't have the skill to get goals
hell school in korea : ),Hell School In Korea : )
Are fastfood and microwave beneficial to society ?,Are fast food and the microwave beneficial to society ?
When the monitor lizard cry .,When the monitor lizard cries . > > what a title
Practice,English Writing Practice
Sinking Japan,Decline of Japan
Muggy agternoon,Muggy Afternoon .
I 'm getting a weight ?,Am I gaining weight ?
My training cours,My training course
The Reason Why I Want to be A Teacher,The Reason Why I Want to Be a Teacher
We ate Sushi !,We ate Sushi !
This Site 's Watch,This Site 's Clock
ride on bicycle,riding on a bicycle ( A Bicycle Ride )
please welcome to me,please welcome me
Greeting !,Greetings !
Tired,Tired
Mouse like a cheeze .,Mouse likes cheese .
New Habit,A New Hobby
[ Help me OTL ] Part time jop : ),[ Help me OTL ] Part time job : ) What 's OTL ?
english diary,English diary
Lesson 225 `` How to scold at other people in English `` .,Lesson 225 `` How to scold other people in English `` .
awake ? asleep ?,Awake ? Asleep ?
newyear plan,New Year plan
Ride a bicycle,Rode a bicycle
An explanatioin of ' MOE ',An explanation of ' MOE '
"Finally , I done !","Finally , I 'm done !"
Homecomming visit,Homecoming visit
we ca n't see the truth,We ca n't see the truth
Firework,Firework
"Mozart on board ? Yes , it was a chamber music in a plane . : - )","Mozart on board ? Yes , it was chamber music in a plane . : - )"
my first posted for Lang - 8,my first post for Lang - 8
ADD ME UP,ADD ME
My first time use Lang - 8,My first time using Lang - 8
"New year , new leaf","New year , new leaf"
Caught a cold .,I Caught a cold .
vinetin 's day,Valentine 's day
Thanks To You,Thanks To You .
nice to be your friend,nice to meet you
Te concert was canceled,The concert was canceled
I 'm not sure in order of words in this sentences . . .,I 'm not sure of the order of words in these sentences . . .
"Why people hate you , President Obama ?","Why do people hate you , President Obama ?"
Imoressions of America part 2,Impressions of America part 2
home ! !,Home ! !
on the first take an english diary,My first diary entry in English .
I and my friend .,My friend and I .
Tokyo seen by foreigner,Tokyo as seen by a French person
Volunteer activities .,Voluntary activities .
spend at a library,I spent some time at a library
Decide to travel around the world,Decided to travel around the world
Football and travel,Football and Travel
Day Off,Day Off
Do you use to internet tool ?,Do you use internet tools ?
Salary day !,Pay ( ment ) day !
as ~ as,As ~ As
Hello .,Hello .
what 's wrong with me ? !,What 's wrong with me ! ?
X ' mas illumination,Xmas illumination
Minor renewal in the Notebook feature,Minor update for the Notebook feature
14-Aug,August 14th
a summery of my journal so far .,A summary of my journal so far .
Tennis at school ! ^ - ^,Tennis at School ! ^ - ^
My first time to join Lang - 8,My first time on Lang - 8
I want to speak English !,I Want To Speak English !
Bangkok Turmiol,Bangkok Turmoil
I have gotten a ipod touch !,I got an ipod touch !
Worry about work,Worried about work
Recall something precious,Recall something preciousMemories of good times gone by
The good English workshop by Oxfam,A good English workshop by Oxfam
please read and correct . . .,Please read and correct . . .
Studying for an examination .,Studying for an . Examination
my first dialy,My first diary
Yesterday,Yesterday
Japanese iTunes Store started to rent movies,Japanese iTunes Store starts renting movies
TOEIC is not global standard .,TOEIC is not the global standard .
SLUNG,SLUNG Slang
My experience of ERP software .,My experience with ERP software .
Korea win the winter Olympic game 2018 yesterday mid - night,Korea won the 2018 Winter Olympic Games selection yesterday at mid - night
How it 's called ?,What 's it called ?
noting special .,Nothing special .
My bycicle was broken .,My bycicle was broken .
Get a chance !,Got a chance !
I am going to hung out in Ikebukuro city,I am going to hang out in Ikebukuro city
Today I was alomost sleeping .,I spent nearly the whole sleeping .
I got a espresso machine !,I got an espresso machine .
Today is a election 's day of the House of Councilors in Japan .,Today is electionday for the House of Councilors in Japan .
can you help me ?,Can you help me ?
How can I use this Lang - 8 . . . . ?,How can I use Lang - 8 . . . . ?
Our floor is silent .,Our floor is silent
"I want to do volunteeer guide around Tokyo , but it 's difficult to make scripts .","I want to do volunteeer guide around Tokyo , but it 's difficult to write scripts ."
message from china !,Message from China !
Long time wait,Long wait ( time )
I just arrive to adelaid,I have just arrived in Adelaid
YOYOGI OKTOBERFES 2011 .,YOYOGI OKTOBERFEST 2011 .
The first week in the USA,The first week in the USAMy first week in the USA
Nobody Knows who I really am,Nobody Knows Who I Really Am
I go to the mountains,I 'm going to the mountains
TESK TWO - Comparison Composition,TASK TWO - Comparison Composition
Making a plan for leisure time vs . Enjoy the leisure time impromptu,Making a plan for a family day vs . Enjoy the family day impromptu
Take Care Of Yourself From A Cold,Take Care Of Yourself When You Have A Cold
Hi ! Everyone who joins Lang - 8 !,Hi everyone who joins Lang - 8 !
how to use skype ?,How to use skype ?
Tokyo Malathon,Tokyo Marathon
The Art of Negotiating ( 3 ),The Art of Negotiating [ ADD space ] ( 3 )
I received English trial lesson,I attended a trial English lesson
everyone has a depression,Everyone has depression
Why I hate my English teacher so much ?,Why do I hate my English teacher so much ?
bonus !,Bonus !
"Hello Today , I met few foreigners at bakery store that I just started work in this afternoon .","Hello , today I met some foreigners at the bakery store where I started work just this afternoon ."
"In japan , increase people who doing ASAKATSU","In Japan , the number of people doing ASAKATSU is increasing ."
20th NOV .,20th of NOV .
Hi Hi,Hi
I 'm so neryous . . . .,I 'm so nervous . . . .
It 's will be my blog .,This will be my blog .
"Night scenery of Nagasaki , Japan","A night scenery of Nagasaki , Japan"
To day is Friday the thirdteenth,Today is Friday the thirteenth .
A terrible Day,A Terrible Day
I watched movie is called frozen .,I watched a movie called frozen .
I want Ipad ! !,I want an Ipad ! !
This is my first journal in this year .,This is my first journal this year .
move ?,Should I move ?
< An introduce about me > - essay,< An Introduction About Myself > - Essay
It 's the first time to write a diary on the Lang - 8 .,It 's the first time to write a diary on Lang - 8 .
please help me ~ how should I do,please help me ~ What should I do ?
I began to write my diary .,I begin to write my diary .
Languege exchange site,Language exchange site
A gas bill,The gas bill
How cold the air - condition is !,"My , how cold the air - conditioning is !"
Today is my twice exam ! !,Today is my second exam ! !
boring day,Boring day
the weather is so cold ! ! !,The weather is so cold ! ! !
Victor Pelevin `` The Blue Lantern `` . Short film .,"Victor Pelevin 's `` The Blue Lantern `` , A Short Film ."
go to a car dealer shop,Going to a car dealership
My Plans,My Plans
I need friend . .,I Need a Friend . .
Asking some English quetions ! !,Asking some English questions ! !
Killing Game ( 1 ),Killing Game ( 1 )
I read a essay .,I read an essay .
Diary : Variation of Foods,Diary : Variation of Foods
Asian Emigrants,Asian Immigrants
"cook ( correct for me , my friends )","Cook ( correct for me , my friends )"
