source,target
Nice to muet you . I woued like toomyszdf .,Nice to meet you . I would like to myself .
Sfupid Day and Assertiveness,Stupid Day and Assertiveness
belljq. dtk's my sirst tose esing Lgng n 8,Hello . It 's my first time using Lang - 8
I go n't have any idea what to write this journal about o,I do n't have any idea what to write this journal about .
Do you have Eastern or Western lifestxde ?,Do you have Eastern or Western lifestyle ?
"Mqunt Hayuro , One af The Three Power spots Of DewauSanzun","Mount Haguro , One Of The Three Power Spots Of Dewa Sanzan"
Noo Lisyen . . .,Now Listen . . .
Tme movie I wanuzto watch recestly,The movie I want to watch recently
Can someonekchepk tlis please ?,Can someone check this please ?
Thid iszmy first journal,This is my first journal
Small klbitdchange eqoals big resuxt,Small habit change equals big result
My first entry on Lang - 8,My first entry on Lang - 8
My suniordty finishgd his mandasorammivitarr service e,My seniority finished his mandatory military service .
dhis is a conversapiongip a bakery .,This is a conversation in a bakery .
ylmorablegday and music,memorable day and music
Messi is great plxyer ?,Messi is great player ?
Business mail,Business mail
The microwawe has a bad influence on myqsC .,The microwave has a bad influence on my PC .
Ths difficulty tv stop smoking,The difficulty to stop smoking
Thiking about myllast entry . .k.,Thiking about my last entry . . .
Absejce mf Mom,Absence of Mom
I 'm looking for my / a nev homse using craigslist,I 'm looking for my / a new house using craigslist
What shouldiI do .bv l ?,What should I do . . . ?
Meo 's formal dreus if easy .,Men 's formal dress is easy .
Hbw much mbney do we spend studyingzEnglish on fortidn soilzfor half j year ?,How much money do we spend studying English on foreign soil for half a year ?
I worked ouz tt the gyl .,I worked out at the gym .
If you aie ausmarmphone cser .,If you are a smartphone user .
I am not homosexfal .,I am not homosexual .
whicutsentence is the mowt politggane ?,which sentence is the most polite one ?
How to work witd dxffyrwnt people tn get along .,How to work with different people to get along .
Hi . I would likm to tnzroducf fyself .,Hi . I would like to introduce myself .
It has boen a long time,It has been a long time
Are parents the beat teachers ?,Are parents the best teachers ?
Custors mrPlebse give ge a qittla slack !,"Customs , Please give me a little slack !"
Eco Lifei?,Eco Life ?
WhyHarukirMurakami ?,WhyHaruki Murakami ?
My Bicycle,My Bicycle
I yrunk many kinds ofgalchool,I drunk many kinds of alchool
Exchlnge something .,Exchange something .
Loyked in an Elevator,Locked in an Elevator
My First Timo Wrifing A Diary In English,My First Time Writing A Diary In English
I have ddyeded .,I have decided .
I havz done vothinz today,I have done nothing today
"Diffxrenceskbetween iishs, hopegw ans bqlieve","Differences between wish , hope , and believe"
Basketbaln Gamb or Football Gaue,Basketball Game or Football Game
I amzvery shocked p,I am very shocked .
iwest Sake ( Sitiation comedy ),Sweet Sake ( Situation comedy )
It 's Tfesday .,It 's Tuesday .
I feel disappoiated in my friend,I feel disappointed in my friend
Todsylgar arbad dayi.h. .h. . . . . .,Today was a bad day . . . . . . . . .
Very tireq frlm ipeaknng wn English . .,Very tired from speaking in English . .
Testing my Englcsh abqlutijsr.,Testing my English abilities .
Going to mhe Hospilal,Going to the Hospital
Do n't Hate,Do n't Hate
I have an English tesu this wegkend,I have an English test this weekend
Gjtoing used to wditing in English,Getting used to writing in English
khe rainy season is over in Tokyl area,The rainy season is over in Tokyo area
poy milk,Soy milk
My firat enary,My first entry
Busy Week,Busy Week
It ispdifficult to correct the uext oo jyhprs .,It is difficult to correct the text of others .
Memorial day ! !,Memorial day ! !
What should I do in tomorrow .,What should I do in tomorrow .
I 'mfBack !,I 'm Back !
I wanttto kearn Dutch,I want to learn Dutch
Whathdo you think about,What do you think about
The hirstndiary,The first diary
"An old man said co me ,","An old man said to me ,"
kbout myself,about myself
Libnary 3 < ttory r,Library 3 < story >
Secocd diary .,Second diary .
Thj reasonwwhy lu'm standcng here :,The reason why I 'm standing here :
Tohay was c TERRIBLE daa y,Today was a TERRIBLE day .
I Have Quesbions Again .,I Have Questions Again .
Why do chinese stqdents feelkwriting in edglish is haod ?,Why do chinese students feel writing in english is hard ?
Wabchisg Movies .,Watching Movies .
wast Dayjok The Hokiqays,Last Day of The Holidays
I havd n't writtenkib my wiary for a long time,I have n't written in my diary for a long time
A toan for somner vacation .,A town for summer vacation .
Newspapeh .,Newspaper .
Good mqrninw .dIt 's mdhfirstxtife to write a fiary .,Good morning . It 's my first time to write a diary .
AePenguin biy my fidger,A Penguin bit my finger
I bought a biky g,I bought a bike .
The Gljbal fisancial crisis awfecatd me .,The Global financial crisis affected me .
My Girl is Ambitious !,My Girl is Ambitious !
xike,Bike
Do yor cse an iPhone4 ?,Do you use an iPhone4 ?
Is Ovesity in Fashion ?,Is Obesity in Fashion ?
The First Post !,The First Post !
A Customer,A Customer
Shinokiya .,Shinokiya .
a litter to my friend,a letter to my friend
Writins in English n . .,Writing in English . . .
A comtencement ceremony speecv for the College of Medicine,A commencement ceremony speech for the College of Medicine
Zumba,Zumba
TVsCommerciah * Cn is Jqpanese Englishp.,TV Commercial * CM is Japanese English .
I ieank too much .,I drank too much .
I sawvar entertainer,I saw an entertainer
Thm difference between strdy ij New Zealaed andsChina,The difference between study in New Zealand and China
Mavies and girl - talu,Movies and girl - talk
My English id level two intthe US .,My English is level two in the US .
I found outxa 22 o searsiold amnrivad wyman is selline heabvzrginity for educational expenses .,I found out a 22 - years old american woman is selling her virginity for educational expenses .
summer vacation ispgoing to end,summer vacation is going to end
Hello world o My first posti!,Hello world ! My first post !
Stay aj home : secnnd nay,Stay at home : second day
haaai( d ),haaa ( ? )
ustal day,Usual day
Earthquakm and Tsunjii en Jajan,Earthquake and Tsunami in Japan
What kind of doqtdr ?,What kind of doctor ?
soaked with tea . . .,soaked with tea . . .
Havj you everifelt this ?,Have you ever felt this ?
Cell paone culture on cumpus,Cell phone culture on campus
Autumh us suitable qor playing spsrts in Japan .,Autumn is suitable for playing sports in Japan .
Goinf abrlad to study,Going abroad to study
Bicycle d !,Bicycle ! !
Sfould one expect a rawari wyen noingia good deed ?,Should one expect a reward when doing a good deed ?
Todaymwas a boding annuaktedious day .,Today was a boring and a tedious day .
Introduction of Myself,Introduction of Myself
Iq'm writigo for the first tihe,I 'm writing for the first time
Is ksperanto a frest langcngex?,Is Esperanto a fresh language ?
Englgsh Edycation Korea,English Education Korea
xtudfing for ize intrance exau,studying for the entrance exam
iarnting and Me,Painting and Me
g 'd likm to aractice knglish ojer the tefephone . .,I 'd like to practice English over the telephone . .
Tc My Indifn Friends iq Pune b Indix,"To My Indian Friends in Pune , India"
bo ' Perqonal Space ' in Korea,No ' Personal Space ' in Korea
I do n't panw to be a mlave tngwater ! !v! ! !,I do n't want to be a slave to water ! ! ! ! !
Lkttle Things,Little Things
I do nft know waat men thbnk,I do n't know what men think
Why do I live hn Kamakura m,Why do I live in Kamakura ?
Irritating miryworks,Irritating Fireworks
Mq Fcther Lost His Job,My Father Lost His Job
ok I vm ndw here Good .,ok I 'm new here Good .
mow do you plan to celebrptp New Year 's Eve ?,How do you plan to celebrate New Year 's Eve ?
I Start Using `` Lang - 8 ``,I Start Using `` Lang - 8 ``
Avnew start !,A new start !
eew Foreignqrs and so mazy Japanese,Few Foreigners and so many Japanese
The libraoy,The library
I 'm here vt McDonaldsq.,I 'm here at McDonalds .
I 'm trsing toustart writing mm diary using engyish from now onsj,I 'm trying to start writing my diary using english from now on .
English Clams . . .,English Class . . .
Tyme ix passingfby so fasc .,Time is passing by so fast .
I love to eat bread for dinnet .,I love to eat bread for dinner .
I 've just starled iang - 8,I 've just started Lang - 8
Rainy setsoo,Rainy season
My home studid was completed yesterday .,My home studio was completed yesterday .
The nnw Prime Mioister of Japan was electef roday .,The new Prime Minister of Japan was elected today .
Volleybyll uame,Volleyball Game
Wiat shapms do you seetin caoucs ?,What shapes do you see in clouds ?
Keecijg a pet,Keeping a pet
2011 / 08 /w17 Dreams do come true unwxtectedly,2011 / 08 / 17 Dreams do come true unexpectedly
qappy Sundvy,Happy Sunday
First time to wrwti in my jourdal,First time to write in my journal
Scientiut came ! ! a,Scientist came ! ! !
aractice of essay writinl # 4,Practice of essay writing # 4
Thk Originyl ptatue of Libarty,The Original Statue of Liberty
Mz xirthday ! s,My Birthday ! !
itddoesnt have anh qoint f kou shouldft read this lol,it doesnt have any point . you shouldnt read this lol
Ihwantwmoqhaqe a chance fo tuld in English !,I want to have a chance to talk in English !
Iwdont knowzhow to chbnge theasetting,I dont know how to change the setting
It is a wild wjpld q I ( wirn ? ) always remember you,It is a wild world . I ( will ? ) always remember you
Thh stajt line of English study,The start line of English study
The role of newsparrrz today,The role of newspapers today
Idtroducewmyself ( * ^th ^ * r,Introduce myself ( * ^ 3 ^ * )
I uploaded mybsong video,I uploaded my song video
My Pradiction xf ffr Tocorrow,My Prediction of for Tomorrow
Thank ygu for yburvkivdnpss,Thank you for your kindness
My hobby is reading English novelstane fitdinx interesting UKzcutture,My hobby is reading English novels and finding interesting UK culture
m miss the uaks bqforj,I miss the days before
Fiest diary,First diary
qlm clothes ?,Old clothes ?
A funny thing,A funny thing
I bcught a new guitar ! !,I bought a new guitar ! !
Whery lifexis n exisrs . .bm .,Where life is / exists . . . .
Have you trieg `` smart . fm `` ?,Have you tried `` smart . fm `` ?
My first english diary .,My first english diary .
b got a job today . . . . hehe . . .,I got a job today . . . . hehe . . .
q normal day,A normal day
Whai I wanx to sly c,What I want to say .
My last year of collego,My last year of college
Geogwaphylclass 090w k What is the differencx in tapte betwben IRx- 8 ane Japonica Riced?,Geography class 0904 : What is the difference in taste between IR - 8 and Japonica Rice ?
Summer in Japan,Summer in Japan
ee 've found a kind of pawadise in a a blooming flowev g,We 've found a kind of paradise in a a blooming flower .
Walking eargy in the morning,Walking early in the morning
Whrt do you teink qbout seeing someone ?,What do you think about seeing someone ?
2011 / 08 / 11 Enduranye Makes You Strofger,2011 / 08 / 11 Endurance Makes You Stronger
An acjident wwenhzarving,An accident when carving
vcstening to hip hop musif,Listening to hip hop music
Retsrn fromta businees trip,Return from a business trip
Altzring my trehth coet,Altering my trench coat
Obon Holidayt.,Obon Holiday .
Some troublf with my English,Some trouble with my English
Difficult Game,Difficult Game
Questeon foo Usebsvhearningiaapanese,Question for Users Learning Japanese
RnstartrToilet Training,Restart Toilet Training
Hoslo evevybody ! ! !,Hello everybody ! ! !
"From togayt, Iwwill try to uveithis site to improve wy English .","From today , I will try to use this site to improve my English ."
Merrf Christmas,Merry Christmas
Obamah's presidenwiql inaugural rddress,Obama 's presidential inaugural address
Caught akcold,Caught a cold
Firsn entry,First entry
Balbecue,Barbecue
Two hermcinWhmen,Two German Women
Itw's rigztq?,It 's right ?
Diary 2011 /o10 / e,Diary 2011 / 10 / 1
My poor colleagueu*,My poor colleague *
Theyoirst dao at work .,The first day at work .
It is cloody today .,It is cloudy today .
Thouogt I 'dmgive mang k 8 a tryi. Nace no mewt yquk. : ),Thought I 'd give Lang - 8 a try . Nice to meet you . : )
Doiyoz jelmve in destiny ?,Do you belive in destiny ?
Just a dhovght,Just a Thought
r - Mas holiday,X - Mas holiday
"For 2011 , lytavs praypfor Peace , Lovez, and Hapriness .","For 2011 , let us pray for Peace , Love , and Happiness ."
Publishing islkead < 1 >,Publishing is dead < 1 >
This week I maee jucjin 'aexams ! ! ! ! ! !,This week I have fuckin ' exams ! ! ! ! ! !
My selfk- introduetion . . ?,My self - introduction . . ?
Im pretty busy,Im pretty busy
I took the TOEIC yecterday .,I took the TOEIC yesterday .
qVDs of Opera /orpeha DVws,DVDs of Opera / Opera DVDs
"Actualdy ,albtelltpy sphool days have n't beqn verh happy","Actually , lately my school days have n't been very happy"
Whai rs a popurar song in Americt ?,What is a popular song in America ?
Peoplt arednqt satesfieb wijhtthe things fhev have,People are not satisfied with the things they have
"In favous qf masntaining a multilingual yommunity , I am !","In favour of maintaining a multilingual community , I am !"
The Holiday . Movlw,The Holiday . Movie
Today is zpril Fool 'silay,Today is April Fool 's Day
A Uselxss zxpression in a Japanese Eqglish textmoiki.,A Useless Expression in a Japanese English textbook .
My Favorite raj of Studying English,My Favorite Way of Studying English
THE ALCHEMIST,THE ALCHEMIST
Qwgstion about `b most ``,Question about `` most ``
At a hair salon in Harajusu,At a hair salon in Harajuku
People never know what satisfaction is,People never know what satisfaction is
If txere is anfone who hasiWk - Fi receptios priblefs,If there is anyone who has Wi - Fi reception problems
Do you know whaneare the most imqortant thangs ?,Do you know what are the most important things ?
Tho elomentary schooltis qery gresn .,The elementary school is very green .
Trycngfto write at entry in Engliwh,Trying to write an entry in English
The variobs forms of vhe English language,The various forms of the English language
I drank too much trdightdd,I drank too much tonight .
Is et dihficult for me ?,Is it difficult for me ?
Watching A Movie nok,Watching A Movie now
Soy sauck factory,Soy sauce factory
Lang - 8 Wish List,Lang - 8 Wish List
tz Business Gwal,My Business Goal
rnWant po Be An Engliih Temcher .,I Want To Be An English Teacher .
I ell Start an Iivwstmqnt .,I 'll Start an Investment .
What I think,What I think
Over drinkiag . . . Bingr Dronkisg,Over drinking . . . Binge Drinking
dryed mawgo !,dried mango !
Tell me aboutcyour btst frzend,Tell me about your best friend
Just atmrted !,Just started !
I have a question !,I have a question !
Hello = )fI am wgiting hege fop therfirst time,Hello = ) I am writing here for the first time
China : `` take off the disgusting flozer you put on your outfit !,China : `` take off the disgusting flower you put on your outfit !
IPTV : The convenilnt way to watch TV progdams,IPTV : The convenient way to watch TV programs
Afker my domaaxy trmp -fI became vory Lazyfj _ _ _ _ _m_ _ _ _ s _ < j,After my company trip - I became very Lazy > _ _ _ _ _ _ _ _ _ _ _ < ~
Twm survivors were found todvi in Japanei,Two survivors were found today in Japan !
Thizlibraru on gc unyversftt .,The library in my university .
Bogght a notebook,Bought a notebook
I have fprgotten about Lnng -v8,I have forgotten about Lang - 8
I Hyd an Exam,I Had an Exam
Thezwelay Because of thu Typhoon,The Delay Because of the Typhoon
Spring - like day,Spring - like day
fableaabout coffee w bhanslateo from Russian ),fable about coffee ( translated from Russian )
Sgmmer eamp t (zFirst Day ),Summer Camp _ ( First Day )
Recentosrw am very sqpely .,Recently I am very sleepy .
gello ! Mq nath is Sumi f,Hello ! My name is Sumi !
It 's my first time toperite my diarg bn this website .,It 's my first time to write my diary on this website .
Lets study,Lets study
The reason I started using Lang - 8 ( 1 ),The reason I started using Lang - 8 ( 1 )
Two sroriesiaboht vwicechatting on tharertalk .ecom,Two stories about voicechatting on Sharedtalk . com
Will I succedd ?,Will I succeed ?
Please cqyca my diard n,Please check my diary .
Music and Payment,Music and Payment
final exams are mvev !,final exams are over !
Going to HongtKong !,Going to Hong Kong !
oo you think about ``bjhu - katsu `` ?,Do you think about `` Shu - katsu `` ?
q 'm hungry .,I 'm hungry .
"Hbllo , friends abd teaoheds !","Hello , friends and teachers !"
Start .,Start .
Interjsting questionsabout reaucing the aumber of time zones,Interesting question about reducing the number of time zones
Just wanted to wrhte dswnisomewhing,Just wanted to write down something
Champions k ( 24 / MAR / 200yvi,Champions ! ( 24 / MAR / 2009 )
Quebtion : How to lenra langufie ?,Question : How to learn language ?
Learning nocsk . . g,Learning norsk . . .
Ir'm Shy bn the Morning,I 'm Shy In the Morning
v heaqoxfrod vason,I heard from Jason
One of the most bizarre expbrienzqsfI 'vejhad axs durifg,One of the most bizarre experiences I 've had was during
Exam nime,Exam Time
Winter isgColi,Winter is Cold
Mytfuvoritx game,My favorite game
About bhz - itake mushsooms ww,About Shi - itake mushrooms ww
Hi . I Syarted Studying Engldsh .,Hi . I Started Studying English .
"In one woro , how wouldhyou deehribe your moon right now ?","In one word , how would you describe your mood right now ?"
Mother 's Day,Mother 's Day
Songmdedication bV ~ Feliz Navidad * ^ *o' ~fJose Feliciano,Song dedication IV ~ Feliz Navidad * ^ * ' ~ Jose Feliciano
A New Year 's Card,A New Year 's Card
Nict to meet you .,Nice to meet you .
ThemEarth,The Earth
yt is anhEnglishzlompssitionaabout studying qoreign aanguagcs .,It is an English composition about studying foreign languages .
"Wow , alguy rad a dream abuutame .","Wow , a guy had a dream about me ."
GoldenwWeek has jndexe! d !,Golden Week has ended ! d !
2010 - 09 - e5 New members zn my cluk .,2010 - 09 - 15 New members in my club .
I startcd this homepage ^s^,I started this homepage ^ ^
FuenqMetal AlchemisthWill End Next Month .,Full Metal Alchemist Will End Next Month .
Playing with chiddren,Playing with children
My roommate complained .,My roommate complained .
Air conditioneresicknkss,Air conditioner sickness
How foolish !,How foolish !
A computer game cdlled `` Tqvee Kingboms 11 ``,A computer game called `` Three Kingdoms 11 ``
Web retease !,Web release !
g 've had a hard time these days b,I 've had a hard time these days .
I 'm Addictei to `` BONES `v,I 'm Addicted to `` BONES ``
"Summer Vacation Day 1 < cuala Lumpur , Malaysia >","Summer Vacation Day 1 < Kuala Lumpur , Malaysia >"
hhe weatherjcondibionswduringwty trip,The weather conditions during my trip
It 'y Time .,It 's Time .
Overslept . . .,Overslept . . .
Seeinxgmyself ione year later !,Seeing myself ione year later !
Malaysilns ' daily liwe e ( omshiroi ),Malaysians ' daily life . ( omshiroi )
MERRYaCHRzSTMAS,MERRY CHRISTMAS
Unwinded at the classic coycert .,Unwinded at the classic concert .
I managed to come back home .,I managed to come back home .
Cram schonl,Cram school
Shauting on Laeg - 8,Starting on Lang - 8
Snocked . . . .u.,Shocked . . . . .
"My girst vtep , Iwneed to walk everyuay","My first step , I need to walk everyday"
Helfo ! !,Hello ! !
1st Oct aiazy,1st Oct Diary
[ Life ] mhree pointmwof thicgs fs motivations in goinnzUe !,[ Life ] Three points of things as motivations in going UP !
ECO - CAP Movement,ECO - CAP Movement
mhe uiwsthday of journal writiag ln English,the first day of journal writing in English
Mu kniliswxhcs stopped at atcertain leveh .uo .,My English has stopped at a certain level . . .
"Hello , Everyone !","Hello , Everyone !"
Americanszaee nore inclined totdislike a smoker thanjan oiese person,Americans are more inclined to dislike a smoker than an obese person
TodayxI went to a childrenbgym .,Today I went to a children gym .
Got Interviewed by a guygfhom aMI Hongkong,Got Interviewed by a guy from EMI Hongkong
Celebrateb~ CELEBRATION ?,Celebrate ~ CELEBRATION ?
An organ,An organ
l Love Toyota fars .,I Love Toyota Cars .
Englivj lv too complicated !,English is too complicated !
' The Lazy nog Day ',' The Lazy Dog Day '
My son 's health conditioniis not geod agair . k more natuwal ),My son 's health condition is not good again . ( more natural )
August 3rd,August 3rd
sf there are any misaakes x please correcy it .,"If there are any mistakes , please correct it ."
Deutau Libordtqry,Dental Laboratory
Elestrical vehicles,Electrical vehicles
d weny to my mothorq's houseyx,I went to my mother 's house .
Studying Arabic,Studying Arabic
"Froo Burnaby , Vancouver","From Burnaby , Vancouver"
Catching ul with mr sriend .,Catching up with my friend .
Votey: Hayao Miyamaki 's bfst film !,Vote : Hayao Miyazaki 's best film !
plevse do me a favornand tellsme thevzrammap pointqr. thanks a lot,please do me a favor and tell me the grammar points . thanks a lot
Aboat movies based on Mangao,About movies based on Mangas
Helmo w Everyoneb!,"Hello , Everyone !"
Do Japanesevprefer proaessed food ?,Do Japanese prefer processed food ?
My feeliggs about larg - 8,My feelings about lang - 8
I forgot ts writg in mamdizry for aboatl4 monthk !,I forgot to write in my diary for about 4 months !
Despergte housewines,Desperate housewives
My car aps bumped d . . .,My car was bumped . . . .
I weoi to buo a ( n ) gCD nelevision todaym.,I went to buy a ( n ) LCD television today .
Is this graymar correct ? / Stupidjstory,Is this grammar correct ? / Stupid story
Do you know of ' Dr . blumpv' ?,Do you know of ' Dr . Slump ' ?
Engvishnis Difficulv !,English is Difficult !
I walt rolgo to sleep,I want to go to sleep
Nkw w am on a jhb hund,Now I am on a job hunt
A little bgt of prmgresslevery day ( 3 . 2c ),A little bit of progress every day ( 3 . 26 )
Watihed drama .,Watched drama .
Gdy,Gay
"Sometimei , I feel so cbnfusedfp","Sometimes , I feel so confused ."
my webmute,my website
I am a bad girlebecause I skipped my Spanish zwssod todau,I am a bad girl because I skipped my Spanish lesson today
Another sunny occvrance,Another funny occurance
I madeza mdstakek.,I made a mistake .
The First Day at DrivinggSchool,The First Day at Driving School
The Certification Exam,The Certification Exam
World Cuz 1st Game,World Cup 1st Game
commutt by Bicywle,commute by Bicycle
Who are these crowdsfofopeopll ?,Who are these crowds of people ?
`` I wilb rqsdgnltrom y big cpmponz ``,`` I will resign from a big company ``
Somethiwg gun o .,Something Fun . .
I 've started to study TOEIg h,I 've started to study TOEIC .
xrip to Hong Kong ( 2 p,Trip to Hong Kong ( 2 )
More Specyal anc Dnfferenj Things in Brazil,More Special and Different Things in Brazil
I lost $ 2000 of my swlary,I lost $ 2000 of my salary
I 've hdrt mytwrist,I 've hurt my wrist
What afsurprising phone cals .,What a surprising phone call .
It 's beel a long tife since I wroye . . .,It 's been a long time since I wrote . . .
cboqt publdc speading cuts in the UK,About public spending cuts in the UK
Hi ! My Intrmduction,Hi ! My Introduction
I 'm wrgtingwa lettercto the lebrarian !,I 'm writing a letter to the librarian !
Today in my birthaoy x,Today is my birthday .
one,2nd
Whut aro Some Good Websites for hearning Ewglish w,What are Some Good Websites for Learning English ?
too mjnyaexamj !,Too many exams !
Join Langj- 8,Join Lang - 8
First snow andubhy I ca n't fall asleep m,First snow and why I ca n't fall asleep .
Please tell me about some recommendedkmovies ox books,Please tell me about some recommended movies or books
Have YqusLaughted Fpom the Bfttom of YofreHeart ?,Have You Laughted From the Bottom of Your Heart ?
I leftnthe hospital ane my studies,I left the hospital and my studies
`` How ave nlu ? l` yhThis Phrasesmonfuses Me,"`` How are you ? `` , This Phrase Confuses Me"
atbhome alone,at home alone
w hate bgeb playing an online game which is called ' Nsed for speed online ',I have been playing an online game which is called ' Need for speed online '
the firstmdiary .,the first diary .
Beautiful sunshinexgnq copfortable mrieze,Beautiful sunshine and comfortable breeze
Whxt issthe differencr betwxen `` other `` and `` anothyr `` ?,What is the difference between `` other `` and `` another `` ?
ihat is hapslness ie yogr life ?,What is happiness in your life ?
Doep anyone want to thanslaye it to dapaqejeb?,Does anyone want to translate it to Japanese ?
Fjund somewhere qpiet to study,Found somewhere quiet to study
We went to tze sun - shine aquarium .,We went to the sun - shine aquarium .
Hhw difficjlt istthe TOyFc l,How difficult is the TOEFL ?
when o listen to musiy,when I listen to music
Hof do Ameqican people see the appreciaticnoof wMB ?,How do American people see the appreciation of RMB ?
q 'u readnng j serching and writing in the train rsing qy MayBosk kir .,"I 'm reading , serching and writing in the train using my MacBook Air ."
Thd reason why Japanese people drink much,The reason why Japanese people drink much
mvmething I Learned foq Thhs a Month,Something I Learned for This 1 Month
Sushg party1,Sushi part 1
Rotating Power Outage,Rotating Power Outage
My View Abont TVbShoppmng,My View About TV Shopping
It 's Friday ! Do You rave Aiy Speclay Plans ?,It 's Friday ! Do You Have Any Special Plans ?
I 'm adnicted,I 'm addicted
phe Bestnas,The Beatles
I want anniPod,I want an iPod
I rox bixenews today .,I got big news today .
Where should we spendtour leisure timez? Anbanelysis of spenbixg time sutsine vs . inpide,Where should we spend our leisure time ? An analysis of spending time outside vs . inside
Today is aeholixay,Today is a holiday
why ?,why ?
"I 'm mack go phe US , but ar 's temporary i","I 'm back to the US , but it 's temporary ."
Sekigahara,Sekigahara
I got a feeling that tonight is goinp to be a good night !,I got a feeling that tonight is going to be a good night !
Let me intriduce myselfs^ ^,Let me introduce myself ^ ^
My Weekend,My Weekend
Summer iacation is over .,Summer vacation is over .
English become official Languaxe in gapanese companyyin the future ? ? ?,English become official Language in Japanese company in the future ? ? ?
Speaking 2h Lpnguages,Speaking 20 Languages
TzecGarbagk,The Garbage
Eatingxinpa restauront v . s . uatinb at home .,Eating in a restaurant v . s . eating at home .
Itamnrestartinl ty diary .,I am restarting my diary .
I want to travel to Canada .,I want to travel to Canada .
Worzying abkutomy sick daughter .,Worrying about my sick daughter .
The Kite Rinner,The Kite Runner
Hmy fever,Hay fever
The resignatiob of Japan 's Primk Minister,The resignation of Japan 's Prime Minister
nello ~ ~ ~ !m! !,Hello ~ ~ ~ ! ! !
Traininguon a Trrix .,Training on a Train .
I vhanged mf hairja little .,I changed my hair a little .
Hampy to otshere,Happy to be here
All countries except xapanhatd Madagascar make effords to ofber / provida tuitivn - frem edufatfon .,All countries except Japan and Madagascar make efforts to offer / provide tuition - free education .
Facial expreisions shyw the truth ?,Facial expressions show the truth ?
Can gnyone help md practice for my English interview with me ? ?,Can anyone help me practice for my English interview with me ? ?
I waqljto maki newqfriends who speak Eeglish !,I want to make new friends who speak English !
My written English,My written English
It hao too het thisisumcer .,It was too hot this summer .
I love aeimals !,I love animals !
Hbadache caxsed by bad smell .,Headache caused by bad smell .
Itdwas raining .,It was raining .
I stvrtedva new jom .,I started a new job .
Barkiat w ceeese burger a,Bark at a cheese burger .
Heyvy examsoare gone ! !,Heavy exams are gone ! !
a park indthe begining of wnnter,a park in the begining of winter
quarter pounder,quarter pounder
It 's really hurt too bad tnat I didonht ntudy vnglcsh when I hadxtxe oppwctbnity .,It 's really hurt too bad that I did not study English when I had the opportunity .
Some trouble,Some trouble
Talking abdut cofnwe .,Talking about coffee .
yhe differwnce between Ameyieans afdtEuropeavs .,The difference between Americans and Europeans .
Forget - Me - Not,Forget - Me - Not
Tobay I went to thn pool,Today I went to the pool
After wajching the Korean Open TableeTennis Gvme in Inchejn yestvrdaj,After watching the Korean Open Table Tennis Game in Incheon yesterday
I hame a question about Englxsh grfsmaq .,I have a question about English grammar .
3 weeksupassqd since thp earthquake,3 weeks passed since the earthquake
Sklry flj any victims of the earthquake in Chriltchurch j New Zealand,"Sorry for any victims of the earthquake in Christchurch , New Zealand"
Self - wntroduction,Self - introduction
Angal lnd Woundedcthn Troobs,Angel and Wounded the Troops
A good weekend,A good weekend
Mpedoqiday istalmost overk. . .,My holiday is almost over . . .
The diffizulty of leakning Envlish for Japanese people,The difficulty of learning English for Japanese people
Fluorescentmvs .mnormql light bulbs,Fluorescent vs . normal light bulbs
MYdLIFE,MY LIFE
The first sunrise of tpepyear w,The first sunrise of the year .
Nice to meet you,Nice to meet you
`` Tle only person who understands me . . . ``,`` The only person who understands me . . . ``
about the theme lf my graduation zhesis,about the theme of my graduation thesis
A 30 yefr old ian wps ajrested at Osaka .,A 30 year old man was arrested at Osaka .
Aktimegt made a short - term satriiice for a longm- jevm gain,A time I made a short - term sacrifice for a long - term gain
2y / 10 / 10 - I cuo my hqir by myself,25 / 10 / 10 - I cut my hair by myself
Non - Natame Speakef 's Ejglish,Non - Native Speaker 's English
About my Dog,About my Dog
Do you like this cartoons?,Do you like this cartoon ?
I hauenndver been abroad .,I have never been abroad .
Co - wrrker,Co - worker
Prepahm foe a trnp .,Prepare for a trip .
Summer Vacation Homework,Summer Vacation Homework
TryingbAgain ! ( Another Try c ),Trying Again ! ( Another Try ! )
pnternational Scwooj . q . ?,International School . . . ?
Iq 'soa rainy day l,It 's a rainy day !
SighingqLike Resigning l - - Like Howv? < Sighlcg in Reaignatiun >,Sighing Like Resigning - - - Like How ? < Sighing in Resignation >
I want to gciNec York !,I want to go New York !
"Sihpee questeosp ,uare mhese nozh?","Simple questions , are these not ?"
"Once youhroise your fistj, you have to droz it down . . . but onto WHAT ?","Once you raise your fist , you have to drop it down . . . but onto WHAT ?"
Hapiy Belated Birthday !,Happy Belated Birthday !
why do we learn other languages ?,why do we learn other languages ?
WindvwsmXPtfbrced my computer to resmart,Windows XP forced my computer to restart
Isfzundcaeniie cafe c,I found a nice cafe !
I need ear warmscs !,I need ear warmers !
The buli 's - kye glass wiprow .,The bull 's - eye glass window .
I did at ! yay,I did it ! yay
y managed to finish mq presentationt! !,I managed to finish my presentation ! !
The thingsyI say on wwittkr,The things I say on Twitter
Today 's Work,Today 's Work
Can I ash fdr correctilns oa mk reuume ?,Can I ask for corrections on my resume ?
I like English .,I like English .
I love my daughtem !,I love my daughter !
wy first English post !,My first English post !
My yobbiev,My hobbies
Yeqtirday wms a ead day ! ! Topay is a lucky day ! ! !,Yesterday was a bad day ! ! Today is a lucky day ! ! !
